Year,Cumulative dh (m)
2003.1451451317405,-3.28844970437484
2003.8051960390117,-4.73270932416804
2004.1401472456864,-4.98579725554467
2004.3864348976533,-5.23203522866469
2005.1450008657112,-5.45375756170832
2005.391288517678,-5.90261008957715
2006.1597059918145,-6.21266083171948
2006.4059936437814,-6.09981678254443
2007.2236686483113,-6.36263886512786
2007.7457984704808,-6.14740596622208
2008.139858713628,-6.03167772409686
2009.1957586901497,-7.10383850341204
