Year,Cumulative dh (m)
1988.0915477085186,0.0738333509293731
1988.2000890601694, 0.13378518706045384
1988.30863041182, 0.2088896850708224
1988.4171717634708, 0.27608844644851516
1988.5257131151213, 0.16672575636324538
1988.634254466772, 0.18649009794492244
1988.7427958184228, 0.26488865288556696
1988.8513371700735,0.320228809314262
1988.959878521724, 0.3716160974266174
1989.0684198733748, 0.42432100831108244
1989.1769612250255, 0.47768473058160765
1989.2855025766762, 0.5330248870102956
1989.3923993623928, 0.5169389090007677
1989.448314604152, 0.3073819872861705
1989.516399633824, 0.1334557813674273
1989.6209940272327, 0.10347986330188519
1989.7295353788834, 0.1614552652747996
1989.838076730534, 0.2207482900198272
1989.9466180821848, 0.2747708236764055
1990.0551594338353, 0.3281345459469307
1990.163700785486, 0.3880863820780114
1990.2722421371368, 0.4486970295951487
1990.3511813019736, 0.3385437658466124
1990.3988737140626, 0.16969040760049836
1990.4258915829798,0.00766986458690865
1990.4646563514266,-0.197185183009352
1990.5327413810985,-0.362958598025652
1990.6373357745072,-0.370864334658325
1990.745877126158,-0.318159423773856
1990.8544184778086,-0.266113324275444
1990.9629598294594,-0.210773167846753
1991.0715011811099,-0.155433011418065
1991.1800425327606,-0.0915283069706447
1991.2885838844113,-0.0487055668770146
1991.3675230492481,-0.202076857550817
1991.4102817635348,-0.391141085095821
1991.446462214085,-0.582781997172954
1991.4892209283717,-0.768786411836057
1991.5846057525494,-0.883419593009772
1991.6931471042,-0.83334992766953
1991.8016884558508,-0.781303828171115
1991.9102298075015,-0.72728129451454
1992.0187711591523,-0.666011835611346
1992.1273125108028,-0.607377622252371
1992.2358538624535,-0.536225992558343
1992.324660422895,-0.559660854719471
1992.3986658899296,-0.748857367407865
1992.4924061481734,-0.838620418757976
1992.6009474998239,-0.789209564803787
1992.7094888514746,-0.717399123723701
1992.8180302031253,-0.654153230662338
1992.926571554776,-0.600130697005756
1993.0351129064265,-0.543472917804958
1993.1436542580773,-0.48879157276232
